"","Point est.","Upper C.I."
"phylo.307",1.00001152519068,1.00011645572875
"phylo.275",1.00005719712349,1.00029606684681
"phylo.540",1.00001880644813,1.00006625193327
"phylo.23",1.00009730150629,1.00023316598144
"phylo.73",1.0000827997802,1.00021592456605
"phylo.530",1.00002152169512,1.0000488499008
"phylo.244",1.00001389077161,1.00005036834342
"phylo.191",1.00005227789074,1.00016869734063
"phylo.474",1.0000022655544,1.00009156391776
"phylo.460",1.00012930607854,1.00045163023958
"phylo.528",0.999987027002345,0.999996468332312
"phylo.295",1.00003980370422,1.0002232346741
"phylo.459",1.00001966717377,1.00017839008341
"phylo.463",0.999997640554649,1.00002026210721
"phylo.79",1.00008528318663,1.00040299024768
"phylo.481",1.00000433452297,1.0000721081923
"phylo.190",1.00000406119418,1.00007027144694
"phylo.461",1.00001175268315,1.00002119926592
"phylo.535",1.00000897888819,1.00002544758036
"phylo.223",1.00008079387594,1.00012627779805
"phylo.29",1.00014741942251,1.0001724068056
"phylo.65",1.00011264559323,1.00053773891421
"phylo.283",1.00000881302003,1.00011704504253
"phylo.425",1.00007869865154,1.00042489583276
"phylo.107",1.00002095599934,1.00006456802149
"phylo.294",1.00013694294537,1.00033171187723
"phylo.122",1.00016995802991,1.00083692026985
"phylo.105",0.999985300815749,0.999992043427367
"phylo.138",1.00002338323641,1.00011703839087
"phylo.440",1.0002654457512,1.00052869752168
"isolate.id.OXEC-1",1.00005746389759,1.00006582712927
"isolate.id.OXEC-10",0.999992341085617,1.00000167561912
"isolate.id.OXEC-103",1.0001142310866,1.0006461574277
"isolate.id.OXEC-105",0.999992429708683,1.0000194505022
"isolate.id.OXEC-107",0.999983925749104,0.999999239539695
"isolate.id.OXEC-115",0.999999333741292,1.00000392022315
"isolate.id.OXEC-116",1.00011803695444,1.00032832110306
"isolate.id.OXEC-117",1.00000314945248,1.00002020015454
"isolate.id.OXEC-119",0.999982982565078,0.999983719896859
"isolate.id.OXEC-12",1.00002579761462,1.00010980915069
"isolate.id.OXEC-120",1.00004634577526,1.00031235592615
"isolate.id.OXEC-121",1.0000217498856,1.00006780634034
"isolate.id.OXEC-122",0.999999840762115,1.00001531577923
"isolate.id.OXEC-123",1.00002193448147,1.00009747220359
"isolate.id.OXEC-124",1.00004443386622,1.00018709637055
"isolate.id.OXEC-125",0.999983229477617,0.999995086193859
"isolate.id.OXEC-126",1.00000938726707,1.00010442363243
"isolate.id.OXEC-127",0.999993981738809,1.00003640896769
"isolate.id.OXEC-128",0.999991381368816,1.00003497739033
"isolate.id.OXEC-129",1.00044207825258,1.0022638362867
"isolate.id.OXEC-131",0.999982637044278,0.999992651520406
"isolate.id.OXEC-132",1.00011683744917,1.00066485924233
"isolate.id.OXEC-133",0.999988235770772,1.00000690241011
"isolate.id.OXEC-135",1.00003081900331,1.00013372952638
"isolate.id.OXEC-136",1.00032391882089,1.00167818991218
"isolate.id.OXEC-137",1.00000735211282,1.00000738458808
"isolate.id.OXEC-138",0.999982931299636,0.999993224573352
"isolate.id.OXEC-139",0.999981904772055,0.999989121387198
"isolate.id.OXEC-140",0.999993545146074,1.00004700316817
"isolate.id.OXEC-142",0.999982595359083,0.999983415493574
"isolate.id.OXEC-143",1.00011884202061,1.00066961119135
"isolate.id.OXEC-144",0.999996610211478,1.0000619540441
"isolate.id.OXEC-145",0.999989609315119,1.00000984721022
"isolate.id.OXEC-148",0.999988140933307,0.999989042097662
"isolate.id.OXEC-149",1.00011096309641,1.00063625829436
"isolate.id.OXEC-151",0.99999854180223,1.00000875953198
"isolate.id.OXEC-155",0.99998873901226,1.00002374213193
"isolate.id.OXEC-156",1.00004607814913,1.00031155178678
"isolate.id.OXEC-158",1.00005922051394,1.00011132429152
"isolate.id.OXEC-159",1.00000949533523,1.00010623995478
"isolate.id.OXEC-162",0.999983264034504,0.999989426550642
"isolate.id.OXEC-164",1.00022452116164,1.00104680762893
"isolate.id.OXEC-166",1.00001347854237,1.00014275006818
"isolate.id.OXEC-167",1.00004620003838,1.00010036430031
"isolate.id.OXEC-174",1.00004216091072,1.00020814160925
"isolate.id.OXEC-176",1.00010430674552,1.00049855632671
"isolate.id.OXEC-178",1.00000279128234,1.00000460656887
"isolate.id.OXEC-179",0.999994543812467,1.00001330055741
"isolate.id.OXEC-18",1.00003205996242,1.00010389235623
"isolate.id.OXEC-182",0.999995477854082,0.999998595915702
"isolate.id.OXEC-183",1.00001034505851,1.00004093684987
"isolate.id.OXEC-187",1.00005175571979,1.00026619257509
"isolate.id.OXEC-188",1.00005801952518,1.00021161633483
"isolate.id.OXEC-189",1.00001952809278,1.00002676258865
"isolate.id.OXEC-19",1.00000802988998,1.0001199330493
"isolate.id.OXEC-190",0.99999068409885,1.00002600769363
"isolate.id.OXEC-191",0.999980743419419,0.999980813711487
"isolate.id.OXEC-192",1.00011466805894,1.00056545952052
"isolate.id.OXEC-194",1.00003161294559,1.00020246136162
"isolate.id.OXEC-197",1.00000676913494,1.00005576877642
"isolate.id.OXEC-198",1.00004582958593,1.00026940978834
"isolate.id.OXEC-2",1.00002853991029,1.00011735236032
"isolate.id.OXEC-200",1.00001629781477,1.0001248998441
"isolate.id.OXEC-201",1.0001777491451,1.00048071664897
"isolate.id.OXEC-202",1.00006920156468,1.00017933699674
"isolate.id.OXEC-203",0.999996896403678,1.0000240716635
"isolate.id.OXEC-204",0.999987564802011,0.999995126747068
"isolate.id.OXEC-205",1.00000167105874,1.00008885432968
"isolate.id.OXEC-208",1.00002475504126,1.00002746050645
"isolate.id.OXEC-21",1.0000056341212,1.0000056907749
"isolate.id.OXEC-211",0.999982779024514,0.999989021935112
"isolate.id.OXEC-213",1.00000674676269,1.00001898897253
"isolate.id.OXEC-214",1.00008246275183,1.00008423318556
"isolate.id.OXEC-216",0.99998619790703,1.00000375501345
"isolate.id.OXEC-219",1.00001857125937,1.00014036697145
"isolate.id.OXEC-22",1.00000840130386,1.00006316488215
"isolate.id.OXEC-220",1.00008237433159,1.00010946343816
"isolate.id.OXEC-222",1.00002826725453,1.00021105324423
"isolate.id.OXEC-223",0.99999412597119,0.99999874181259
"isolate.id.OXEC-224",1.00000435258411,1.00003353830284
"isolate.id.OXEC-225",0.999994733055184,1.00005318638407
"isolate.id.OXEC-229",0.999983793895998,0.999989340129231
"isolate.id.OXEC-23",0.999985778130017,1.00000553377377
"isolate.id.OXEC-230",1.00006907926097,1.000417448227
"isolate.id.OXEC-233",1.0001336458633,1.00053041746613
"isolate.id.OXEC-236",1.00001380274051,1.00004462920116
"isolate.id.OXEC-237",1.00002251392019,1.00002985986338
"isolate.id.OXEC-238",1.00002368779751,1.00016760123179
"isolate.id.OXEC-240",1.00024156055228,1.00129114639074
"isolate.id.OXEC-241",1.00000754805653,1.0000435786329
"isolate.id.OXEC-242",0.999984606919378,0.999988835058166
"isolate.id.OXEC-243",1.00000190985925,1.00006657189215
"isolate.id.OXEC-244",1.00001419525722,1.00015096285617
"isolate.id.OXEC-246",1.00000351545344,1.00000384714831
